pageUrl,viewport,run,requestUrl,path,resourceType,mimeType,status,transferredSizeBytes,transferredSize,encodedBodySizeBytes,cache,initiator,extension,fileName,componentTraceNeeded
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20c%EB%B6%80%ED%84%B0ex-Photoroom.png,/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20c%EB%B6%80%ED%84%B0ex-Photoroom.png,image,image/png,200,2501490,2.39 MB,2501490,no,parser localhost,.png,사자 휘장 c부터ex-Photoroom.png,yes
/neo-operation-room/result,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20c%EB%B6%80%ED%84%B0ex-Photoroom.png,/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20c%EB%B6%80%ED%84%B0ex-Photoroom.png,image,image/png,200,2501487,2.39 MB,2501487,no,parser localhost,.png,사자 휘장 c부터ex-Photoroom.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074358,1.98 MB,2074358,no,script react-dom-client.development.js:25235,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074357,1.98 MB,2074357,no,script image-component.js:142,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074336,1.98 MB,2074336,no,script react-dom-client.development.js:25235,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074228,1.98 MB,2074228,no,other,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074216,1.98 MB,2074216,no,script image-component.js:142,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074195,1.98 MB,2074195,no,script image-component.js:142,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074195,1.98 MB,2074195,no,script image-component.js:142,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room/result,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,image,image/png,200,1911068,1.82 MB,1911068,no,script image-component.js:142,.png,사자 휘장 도장-Photoroom.png,yes
