pageUrl,viewport,run,requestUrl,path,resourceType,mimeType,status,transferredSizeBytes,transferredSize,encodedBodySizeBytes,cache,initiator,extension,fileName,componentTraceNeeded
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EB%B2%A0%EB%8B%A4%EC%A0%90%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EB%B2%A0%EB%8B%A4%EC%A0%90%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3323629,3.17 MB,3323629,no,other,.png,네오 전략실 베다점 이미지.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EB%B2%A0%EB%8B%A4%EC%A0%90%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EB%B2%A0%EB%8B%A4%EC%A0%90%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3323624,3.17 MB,3323624,no,other,.png,네오 전략실 베다점 이미지.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EB%B2%A0%EB%8B%A4%EC%A0%90%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EB%B2%A0%EB%8B%A4%EC%A0%90%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3323621,3.17 MB,3323621,no,parser code-destiny.com,.png,네오 전략실 베다점 이미지.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%9E%90%EB%AF%B8%EB%91%90%EC%88%98%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%9E%90%EB%AF%B8%EB%91%90%EC%88%98%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3078368,2.94 MB,3078368,no,parser code-destiny.com,.png,네오 전략실 자미두수 이미지.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%9E%90%EB%AF%B8%EB%91%90%EC%88%98%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%9E%90%EB%AF%B8%EB%91%90%EC%88%98%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3078363,2.94 MB,3078363,no,other,.png,네오 전략실 자미두수 이미지.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%9E%90%EB%AF%B8%EB%91%90%EC%88%98%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%9E%90%EB%AF%B8%EB%91%90%EC%88%98%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3078354,2.94 MB,3078354,no,other,.png,네오 전략실 자미두수 이미지.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%82%AC%EC%A3%BC%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%82%AC%EC%A3%BC%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3016020,2.88 MB,3016020,no,other,.png,네오 전략실 사주 이미지.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%82%AC%EC%A3%BC%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%82%AC%EC%A3%BC%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3016009,2.88 MB,3016009,no,other,.png,네오 전략실 사주 이미지.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%82%AC%EC%A3%BC%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%82%AC%EC%A3%BC%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,3015996,2.88 MB,3015996,no,parser code-destiny.com,.png,네오 전략실 사주 이미지.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%A0%90%EC%84%B1%EC%88%A0%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EB%9E%B5%EC%8B%A4%20%EC%A0%90%EC%84%B1%EC%88%A0%20%EC%9D%B4%EB%AF%B8%EC%A7%80.png,image,image/png,200,2959370,2.82 MB,2959370,no,other,.png,네오 전략실 점성술 이미지.png,yes
